camera_id,obs_latitude,obs_longitude,obs_az,obs_ev,obs_rot,fov_horiz,fov_vert
UK0001,50.9,-1.8,86.8,66.3,-2.7,87.4,46.9
UK0002,50.8,0.3,290.9,32.4,-2.0,88.5,47.1
UK0003,53.1,-1.2,309.5,22.0,-0.5,88.4,47.6
UK0006,51.9,-1.3,241.3,38.4,-5.5,87.8,44.4
UK0009,51.3,-0.8,193.0,42.4,-92.4,53.7,30.0
UK000C,51.3,-0.7,33.6,34.3,7.3,88.1,47.0
UK000F,51.9,-1.3,143.1,40.5,0.9,88.2,46.7
UK000H,50.9,-1.8,232.2,50.7,-4.9,88.8,46.9
UK000P,55.0,-3.1,58.6,41.9,-1.7,89.0,47.0
UK000S,50.9,-1.8,1.6,45.6,-2.5,88.5,47.0
UK000T,51.5,-3.6,186.6,46.5,-3.0,53.7,30.0
UK000Y,53.1,-1.7,330.0,34.9,3.1,88.4,47.0
UK000Z,53.1,-1.7,85.0,32.5,-1.4,88.3,46.9
UK001K,51.5,-3.6,216.1,32.6,0.4,88.8,47.1
UK001L,51.9,-1.3,327.9,34.1,1.3,88.6,46.3
UK001Z,50.9,-2.9,13.0,38.8,0.0,88.5,47.2
UK0020,50.7,-3.5,325.2,49.7,-1.7,88.6,47.0
UK0021,50.7,-3.5,211.8,30.8,4.8,88.6,47.1
UK0022,51.3,-0.8,219.2,48.0,5.8,88.5,46.9
UK0024,50.9,-2.9,267.5,40.1,3.0,88.6,47.0
UK0025,50.9,-2.9,152.4,46.5,-4.5,88.6,47.0
UK0026,53.0,-0.0,14.6,33.3,-1.1,88.6,47.1
UK0027,51.4,-2.4,1.9,42.7,0.1,88.3,46.9
UK0029,52.0,-4.4,56.7,27.8,2.2,88.2,47.0
UK002B,50.8,-1.4,63.9,44.9,2.7,88.4,46.9
UK002C,51.4,-1.8,95.3,28.7,3.4,88.5,47.0
UK002D,51.4,-1.8,173.8,30.3,0.7,88.5,47.2
UK002F,51.9,-1.3,60.5,34.2,-4.0,88.4,46.9
UK002H,53.4,-2.4,189.0,38.4,-1.8,88.3,46.9
UK002K,53.5,-0.4,114.3,41.7,5.3,89.1,47.1
UK002N,51.3,-0.7,130.2,31.8,7.6,88.1,46.9
UK002W,51.4,-2.4,97.6,45.8,-4.3,88.6,47.1
UK002X,55.0,-3.1,131.6,36.2,2.1,88.3,46.9
UK002Z,53.5,-0.4,266.8,43.0,3.1,88.7,47.0
UK0032,53.0,-0.0,99.3,44.2,-2.5,88.6,47.0
UK0038,51.4,-2.4,143.4,38.2,3.9,88.8,47.2
UK003A,52.1,-2.4,69.2,26.5,1.5,87.5,44.5
UK003B,52.3,-1.1,354.9,18.2,-0.1,87.8,45.2
UK003C,50.2,-4.9,94.7,35.0,-1.0,87.5,44.4
UK003E,51.4,-1.8,239.1,24.9,1.5,88.0,44.7
UK003F,51.4,-1.8,304.5,20.5,2.8,87.9,45.0
UK003G,51.4,-1.8,17.3,22.9,2.4,87.7,44.7
UK003H,51.4,-2.4,279.0,34.9,-5.0,88.9,47.0
UK003J,51.4,-2.4,202.0,43.0,4.1,88.7,47.0
